Architecture,Hidden Layers,Train MSE,Train MAE,Test MSE,Test MAE,Test RMSE,R2 Score,Test MAPE (%),Test Median AE
A1,[1],92.81136322021484,7.110074043273926,93.81021118164062,7.134352684020996,9.68532646558752,0.7360932758507075,8.182884812966625,5.711137390136713
A2,[2],61.35811996459961,5.899764537811279,62.084598541259766,5.918158054351807,7.879093276316895,0.8253476589577388,6.779105790485038,4.947034454345697
A3,[3],70.84667205810547,6.324357032775879,71.79190063476562,6.344282150268555,8.47268629961794,0.798040548970923,7.420801526608807,5.182811737060547
A4,[4],48.112998962402344,5.131921768188477,48.85887145996094,5.1541547775268555,6.988565323611213,0.8625964398671893,5.898322473585321,4.167119598388666
A5,[5],45.07285690307617,4.915047645568848,45.743377685546875,4.937365531921387,6.762546143366023,0.8713403367125211,5.6721957454459755,3.935739135742182
A6,[6],40.281856536865234,4.666457653045654,40.83771896362305,4.684942245483398,6.389049589029016,0.8851596663948934,5.340382274000775,3.7381591796875
A7,[7],43.9818000793457,4.89512825012207,44.58271026611328,4.916010856628418,6.675288857335647,0.8746391135213198,5.623959594611079,3.945547485351568
A8,[8],43.75623321533203,4.847843647003174,44.39199447631836,4.87021541595459,6.660402628651409,0.8751976122047744,5.565047704979153,3.874291992187498
A9,[9],37.83564758300781,4.4733381271362305,38.379554748535156,4.492933750152588,6.193212631899633,0.892091933881632,5.08973107636371,3.5314086914062557
B1,"[1, 1]",125.82970428466797,8.767457962036133,126.7734146118164,8.78874397277832,11.259283481173227,0.6433490090737402,10.52281372544664,7.599286651611322
B2,"[1, 2]",139.1562957763672,9.41109848022461,140.09835815429688,9.430741310119629,11.836200271031725,0.6058636073781827,11.324652668585012,8.35360488891601
B3,"[1, 3]",117.9444808959961,8.581175804138184,118.85432434082031,8.600156784057617,10.901926051177123,0.6656291638597803,10.26584942970839,7.591037750244141
B4,"[1, 4]",121.85491180419922,8.652200698852539,122.81988525390625,8.669769287109375,11.082325877177329,0.6544715909344361,9.952064173053184,7.644113159179682
B5,"[1, 5]",110.0057373046875,8.223719596862793,110.9253158569336,8.244062423706055,10.5319596722686,0.6879384203860979,9.8571775481176,7.148599243164057
B6,"[1, 6]",96.546630859375,7.691517353057861,97.42699432373047,7.710474491119385,9.870351225879766,0.7259138179978605,9.284665424989935,6.687066650390619
B7,"[1, 7]",107.4780044555664,7.746140003204346,108.41112518310547,7.768075466156006,10.411848477374068,0.695015613820953,8.810413549267537,6.3495025634765625
B8,"[1, 8]",103.68681335449219,7.827601432800293,104.6378402709961,7.844593524932861,10.229164240587519,0.7056241143923598,8.954728490511664,6.638322448730463
C1,"[2, 1]",94.66070556640625,7.827381610870361,95.2491455078125,7.846209526062012,9.759218904885884,0.7320510579176399,9.281054936476387,6.985639190673822
C2,"[2, 2]",83.02812957763672,6.962637901306152,83.95439147949219,6.985343933105469,9.162187707207213,0.7638324101610967,8.21775386440063,5.849164581298822
C3,"[2, 3]",66.52377319335938,6.144846439361572,67.2706069946289,6.162989139556885,8.201513040590946,0.810761330012364,7.0082819439174955,5.110472106933599
C4,"[2, 4]",62.08341979980469,6.151520252227783,62.55124282836914,6.16802978515625,7.908241008723095,0.824053059245224,7.264229568172663,5.302178955078119
C5,"[2, 5]",69.6364517211914,6.283380508422852,70.57781219482422,6.302715301513672,8.400625298909281,0.8014613084813964,7.138134458081645,5.138790130615234
C6,"[2, 6]",66.26785278320312,6.186992645263672,66.95156860351562,6.203216552734375,8.18191777298034,0.8116645176363076,6.987121442398525,5.143079376220697
